Ticker,Type,Entry Date,Exit Date,Exit Reason,Entry Price,Exit Price,Qty,Gross P/L,Brokerage,Net P/L,Return %,Cumulative P/L,Equity
^NSEI,SHORT,2024-12-27 08:45,2024-12-30 05:45,T3 Cross Up,23807.7,23881.4,21,-1547.72,1502.21,-3049.93,-0.61,-275591.28000000014,1724408.7199999997
^NSEI,LONG,2024-12-30 05:45,2024-12-30 06:45,T3 Cross Down,23881.4,23772.2,20,-2184.02,1429.61,-3613.63,-0.76,-279204.91000000015,1720795.0899999999
^NSEI,SHORT,2024-12-30 06:45,2024-12-31 07:45,T3 Cross Up,23772.2,23680.4,21,1927.78,1494.76,433.02,0.09,-278771.89000000013,1721228.1099999999
^NSEI,LONG,2024-12-31 07:45,2025-01-03 06:45,T3 Cross Down,23680.4,24098.25,21,8774.84,1505.03,7269.81,1.46,-271502.08000000013,1728497.92
^NSEI,SHORT,2025-01-03 06:45,2025-01-07 05:45,T3 Cross Up,24098.25,23720.0,20,7565.0,1434.55,6130.45,1.27,-265371.6300000001,1734628.3699999999
^NSEI,LONG,2025-01-07 05:45,2025-01-08 04:45,T3 Cross Down,23720.0,23573.0,21,-3087.0,1489.73,-4576.73,-0.92,-269948.3600000001,1730051.64
^NSEI,SHORT,2025-01-08 04:45,2025-01-08 07:45,T3 Cross Up,23573.0,23696.5,21,-2593.5,1488.99,-4082.49,-0.82,-274030.8500000001,1725969.15
^NSEI,LONG,2025-01-08 07:45,2025-01-09 04:45,T3 Cross Down,23696.5,23561.9,21,-2826.59,1488.64,-4315.23,-0.87,-278346.0800000001,1721653.92
^NSEI,SHORT,2025-01-09 04:45,2025-01-10 04:45,T3 Cross Up,23561.9,23557.65,21,89.25,1484.27,-1395.02,-0.28,-279741.1000000001,1720258.9
^NSEI,LONG,2025-01-10 04:45,2025-01-10 05:45,T3 Cross Down,23557.65,23523.4,21,-719.25,1483.05,-2202.3,-0.45,-281943.4000000001,1718056.5999999999
^NSEI,SHORT,2025-01-10 05:45,2025-01-10 06:45,T3 Cross Up,23523.4,23517.75,21,118.66,1481.8,-1363.14,-0.28,-283306.5400000001,1716693.46
^NSEI,LONG,2025-01-10 06:45,2025-01-10 07:45,T3 Cross Down,23517.75,23441.25,21,-1606.5,1479.21,-3085.71,-0.62,-286392.2500000001,1713607.75
^NSEI,SHORT,2025-01-10 07:45,2025-01-14 04:45,T3 Cross Up,23441.25,23260.05,21,3805.18,1471.09,2334.09,0.47,-284058.1600000001,1715941.8399999999
^NSEI,LONG,2025-01-14 04:45,2025-01-17 03:45,T3 Cross Down,23260.05,23204.15,21,-1173.91,1463.62,-2637.53,-0.54,-286695.6900000001,1713304.3099999998
^NSEI,SHORT,2025-01-17 03:45,2025-01-20 03:45,T3 Cross Up,23204.15,23228.05,21,-501.91,1462.61,-1964.52,-0.4,-288660.21000000014,1711339.7899999998
^NSEI,LONG,2025-01-20 03:45,2025-01-21 03:45,T3 Cross Down,23228.05,23266.0,21,796.93,1464.56,-667.63,-0.14,-289327.84000000014,1710672.16
^NSEI,SHORT,2025-01-21 03:45,2025-01-22 08:45,T3 Cross Up,23266.0,23164.25,21,2136.75,1462.55,674.2,0.14,-288653.64000000013,1711346.3599999999
^NSEI,LONG,2025-01-22 08:45,2025-01-24 03:45,T3 Cross Down,23164.25,23156.35,21,-165.91,1459.1,-1625.01,-0.33,-290278.65000000014,1709721.3499999999
^NSEI,SHORT,2025-01-24 03:45,2025-01-24 04:45,T3 Cross Up,23156.35,23279.2,21,-2579.84,1462.72,-4042.56,-0.83,-294321.21000000014,1705678.7899999998
^NSEI,LONG,2025-01-24 04:45,2025-01-24 06:45,T3 Cross Down,23279.2,23216.5,21,-1316.68,1464.61,-2781.3,-0.57,-297102.5100000001,1702897.4899999998
^NSEI,SHORT,2025-01-24 06:45,2025-01-28 04:45,T3 Cross Up,23216.5,22959.6,21,5394.91,1454.55,3940.36,0.81,-293162.15000000014,1706837.8499999999
^NSEI,LONG,2025-01-28 04:45,2025-01-30 07:45,T3 Cross Down,22959.6,23167.6,21,4368.0,1453.01,2914.99,0.6,-290247.16000000015,1709752.8399999999
